Timestamp,Data19:18滿電
2025-09-05T15:29:13.582Z,484
2025-09-05T15:29:23.573Z,485
2025-09-05T15:29:33.563Z,484
2025-09-05T15:29:43.559Z,485
2025-09-05T15:29:53.549Z,483
2025-09-05T15:30:03.540Z,484
2025-09-05T15:30:13.531Z,479
2025-09-05T15:30:23.549Z,484
2025-09-05T15:30:33.512Z,483
2025-09-05T15:30:43.503Z,481
2025-09-05T15:30:53.495Z,481
2025-09-05T15:31:03.491Z,482
2025-09-05T15:31:13.480Z,480
2025-09-05T15:31:23.471Z,481
2025-09-05T15:31:33.465Z,483
2025-09-05T15:31:43.453Z,482
2025-09-05T15:31:53.443Z,478
2025-09-05T15:32:03.434Z,478
2025-09-05T15:32:13.425Z,480
2025-09-05T15:32:23.416Z,483
2025-09-05T15:32:33.407Z,481
2025-09-05T15:32:43.402Z,479
2025-09-05T15:32:53.393Z,482
2025-09-05T15:33:03.398Z,482
2025-09-05T15:33:13.374Z,483
2025-09-05T15:33:23.370Z,481
2025-09-05T15:33:33.365Z,481
2025-09-05T15:33:43.347Z,482
2025-09-05T15:33:53.337Z,482
2025-09-05T15:34:03.328Z,481
2025-09-05T15:34:13.323Z,479
2025-09-05T15:34:23.314Z,478
2025-09-05T15:34:33.305Z,482
2025-09-05T15:34:43.296Z,483
2025-09-05T15:34:53.502Z,483
2025-09-05T15:35:03.286Z,480
2025-09-05T15:35:13.270Z,480
2025-09-05T15:35:23.258Z,479
2025-09-05T15:35:33.318Z,480
2025-09-05T15:35:43.245Z,481
2025-09-05T15:35:53.238Z,482
2025-09-05T15:36:03.226Z,481
2025-09-05T15:36:13.217Z,479
2025-09-05T15:36:23.208Z,482
2025-09-05T15:36:33.199Z,484
2025-09-05T15:36:43.190Z,481
2025-09-05T15:36:53.183Z,481
2025-09-05T15:37:03.171Z,479
2025-09-05T15:37:13.166Z,484
2025-09-05T15:37:23.156Z,478
2025-09-05T15:37:33.148Z,479
2025-09-05T15:37:43.138Z,481
2025-09-05T15:37:53.129Z,483
2025-09-05T15:38:03.120Z,483
2025-09-05T15:38:13.112Z,480
2025-09-05T15:38:23.102Z,480
2025-09-05T15:38:33.093Z,479
2025-09-05T15:38:43.088Z,480
2025-09-05T15:38:53.079Z,480
2025-09-05T15:39:03.069Z,482
2025-09-05T15:39:13.060Z,484
2025-09-05T15:39:23.050Z,479
2025-09-05T15:39:33.041Z,478
2025-09-05T15:39:43.032Z,483
2025-09-05T15:39:53.023Z,484
2025-09-05T15:40:03.014Z,485
2025-09-05T15:40:13.009Z,481
2025-09-05T15:40:23.013Z,483
2025-09-05T15:40:32.991Z,477
2025-09-05T15:40:42.981Z,478
2025-09-05T15:40:52.973Z,485
2025-09-05T15:41:02.963Z,482
2025-09-05T15:41:12.954Z,483
2025-09-05T15:41:22.946Z,480
2025-09-05T15:41:32.936Z,483
2025-09-05T15:41:42.931Z,483
2025-09-05T15:41:52.922Z,480
2025-09-05T15:42:02.913Z,479
2025-09-05T15:42:12.903Z,483
2025-09-05T15:42:22.894Z,484
2025-09-05T15:42:32.886Z,482
2025-09-05T15:42:42.876Z,479
2025-09-05T15:42:52.868Z,480
2025-09-05T15:43:02.857Z,481
2025-09-05T15:43:12.852Z,480
2025-09-05T15:43:22.843Z,482
2025-09-05T15:43:32.834Z,485
2025-09-05T15:43:42.825Z,477
2025-09-05T15:43:52.816Z,479
2025-09-05T15:44:02.808Z,480
2025-09-05T15:44:12.797Z,481
2025-09-05T15:44:22.788Z,484
2025-09-05T15:44:32.779Z,481
2025-09-05T15:44:42.774Z,481
2025-09-05T15:44:53.302Z,483
2025-09-05T15:45:02.759Z,479
2025-09-05T15:45:12.751Z,478
2025-09-05T15:45:22.737Z,479
2025-09-05T15:45:32.728Z,480
2025-09-05T15:45:42.723Z,478
2025-09-05T15:45:52.710Z,480
2025-09-05T15:46:02.701Z,479
2025-09-05T15:46:12.695Z,483
2025-09-05T15:46:22.686Z,479
2025-09-05T15:46:32.677Z,481
2025-09-05T15:46:42.668Z,482
2025-09-05T15:46:52.659Z,480
2025-09-05T15:47:02.650Z,481
2025-09-05T15:47:12.643Z,479
2025-09-05T15:47:22.631Z,480
2025-09-05T15:47:32.640Z,482
2025-09-05T15:47:42.617Z,484
2025-09-05T15:47:52.616Z,481
2025-09-05T15:48:02.599Z,476
2025-09-05T15:48:12.591Z,478
2025-09-05T15:48:22.588Z,480
2025-09-05T15:48:32.571Z,479
2025-09-05T15:48:42.561Z,481
2025-09-05T15:48:52.552Z,482
2025-09-05T15:49:02.543Z,481
2025-09-05T15:49:12.538Z,480
2025-09-05T15:49:22.529Z,482
2025-09-05T15:49:32.628Z,481
2025-09-05T15:49:42.510Z,478
2025-09-05T15:49:52.614Z,483
2025-09-05T15:50:02.493Z,482
2025-09-05T15:50:12.573Z,481
2025-09-05T15:50:22.474Z,483
2025-09-05T15:50:32.465Z,482
2025-09-05T15:50:42.460Z,482
2025-09-05T15:50:52.451Z,484
2025-09-05T15:51:02.467Z,484
2025-09-05T15:51:12.432Z,483
2025-09-05T15:51:22.423Z,478
2025-09-05T15:51:32.414Z,483
2025-09-05T15:51:42.404Z,478
2025-09-05T15:51:52.395Z,484
2025-09-05T15:52:02.386Z,483
2025-09-05T15:52:12.381Z,482
2025-09-05T15:52:22.379Z,483
2025-09-05T15:52:32.363Z,482
2025-09-05T15:52:42.355Z,478
2025-09-05T15:52:52.346Z,479
2025-09-05T15:53:02.336Z,480
2025-09-05T15:53:12.326Z,480
2025-09-05T15:53:22.317Z,483
2025-09-05T15:53:32.308Z,483
2025-09-05T15:53:42.303Z,481
2025-09-05T15:53:52.293Z,481
2025-09-05T15:54:02.284Z,483
2025-09-05T15:54:12.277Z,479
2025-09-05T15:54:22.266Z,480
2025-09-05T15:54:32.257Z,479
2025-09-05T15:54:42.248Z,482
2025-09-05T15:54:52.239Z,478
2025-09-05T15:55:02.230Z,481
2025-09-05T15:55:12.225Z,479
2025-09-05T15:55:22.215Z,479
2025-09-05T15:55:32.206Z,480
2025-09-05T15:55:42.197Z,484
2025-09-05T15:55:52.188Z,480
2025-09-05T15:56:02.179Z,481
2025-09-05T15:56:12.170Z,479
2025-09-05T15:56:22.160Z,481
2025-09-05T15:56:32.155Z,482
2025-09-05T15:56:42.147Z,482
2025-09-05T15:56:52.138Z,480
2025-09-05T15:57:02.130Z,480
2025-09-05T15:57:12.118Z,479
2025-09-05T15:57:22.109Z,483
2025-09-05T15:57:32.100Z,485
2025-09-05T15:57:42.092Z,484
2025-09-05T15:57:52.081Z,483
2025-09-05T15:58:02.077Z,480
2025-09-05T15:58:12.068Z,482
2025-09-05T15:58:22.059Z,481
2025-09-05T15:58:32.050Z,481
2025-09-05T15:58:42.040Z,481
2025-09-05T15:58:52.031Z,480
2025-09-05T15:59:02.022Z,479
2025-09-05T15:59:12.012Z,482
2025-09-05T15:59:22.007Z,486
2025-09-05T15:59:32.000Z,486
2025-09-05T15:59:41.991Z,481
2025-09-05T15:59:51.980Z,484
2025-09-05T16:00:01.970Z,479
2025-09-05T16:00:11.961Z,479
2025-09-05T16:00:21.958Z,483
2025-09-05T16:00:31.943Z,482
2025-09-05T16:00:41.934Z,483
2025-09-05T16:00:51.928Z,480
2025-09-05T16:01:01.919Z,483
2025-09-05T16:01:11.911Z,481
2025-09-05T16:01:21.901Z,481
2025-09-05T16:01:31.892Z,480
2025-09-05T16:01:41.883Z,478
2025-09-05T16:01:51.874Z,481
2025-09-05T16:02:01.865Z,481
2025-09-05T16:02:11.856Z,482
2025-09-05T16:02:21.851Z,478
2025-09-05T16:02:31.842Z,479
2025-09-05T16:02:41.832Z,482
2025-09-05T16:02:51.823Z,480
2025-09-05T16:03:01.814Z,483
2025-09-05T16:03:11.804Z,481
2025-09-05T16:03:21.796Z,480
2025-09-05T16:03:31.786Z,481
2025-09-05T16:03:41.777Z,484
2025-09-05T16:03:51.773Z,482
2025-09-05T16:04:01.764Z,479
2025-09-05T16:04:11.756Z,481
2025-09-05T16:04:21.744Z,483
2025-09-05T16:04:31.736Z,480
2025-09-05T16:04:41.726Z,484
2025-09-05T16:04:51.716Z,481
2025-09-05T16:05:01.709Z,479
2025-09-05T16:05:11.700Z,483
